"","diff","lwr","upr","p adj"
"Javanese:Dayaknese-Dayaknese:Dayaknese",0.706013071895425,-0.147439155305208,1.55946529909606,0.165214793433228
"Dayaknese:Madurese-Dayaknese:Dayaknese",1.31156862745098,0.458116400250345,2.16502085465161,0.00029073519051559
"Madurese:Madurese-Dayaknese:Dayaknese",1.47973529411765,0.647267749542452,2.31220283869284,0.0000171368903310043
"Madurese:Dayaknese-Dayaknese:Dayaknese",1.48307739938081,0.640604583491583,2.32555021527003,0.0000211393663905879
"Javanese:Madurese-Dayaknese:Dayaknese",1.6471826625387,0.804709846649476,2.48965547842792,0.0000018235864989169
"Dayaknese:Madurese-Javanese:Dayaknese",0.605555555555553,-0.235616143239246,1.44672725435035,0.300596302316385
"Madurese:Madurese-Javanese:Dayaknese",0.773722222222223,-0.0461505334604275,1.59359497790487,0.0760130947942769
"Madurese:Dayaknese-Javanese:Dayaknese",0.777064327485381,-0.0529655323702301,1.60709418734099,0.0802217371264773
"Javanese:Madurese-Javanese:Dayaknese",0.941169590643274,0.111139730787663,1.77119945049889,0.0166363291887279
"Madurese:Madurese-Dayaknese:Madurese",0.168166666666669,-0.651706089015981,0.988039422349319,0.99113951170672
"Madurese:Dayaknese-Dayaknese:Madurese",0.171508771929828,-0.658521087925783,1.00153863178544,0.990834353025909
"Javanese:Madurese-Dayaknese:Madurese",0.335614035087721,-0.49441582476789,1.16564389494333,0.848297009049351
"Madurese:Dayaknese-Madurese:Madurese",0.00334210526315859,-0.805095323923083,0.8117795344494,0.999999999963918
"Javanese:Madurese-Madurese:Madurese",0.167447368421052,-0.64099006076519,0.975884797607293,0.990733058365611
"Javanese:Madurese-Madurese:Dayaknese",0.164105263157893,-0.654631147202928,0.982841673518714,0.992032820389142
